title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Twin Peaks: Fire Walk with Me,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
White Men Can't Jump,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Buffy the Vampire Slayer,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hard-Boiled (Lat sau san taam),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Man Bites Dog (C'est arrivé près de chez vous),0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"Mariachi, El",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Stop! Or My Mom Will Shoot,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forever Young,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"Cutting Edge, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Of Mice and Men,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bad Lieutenant,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Scream 3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Single White Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Boondock Saints, The",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Gun Shy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baby, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Brandon Teena Story, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Minnie and Moskowitz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
They Might Be Giants,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Beach, The",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Snow Day,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tigger Movie, The",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not One Less (Yi ge dou bu neng shao),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eaten Alive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Raining Stones,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To Sir with Love,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boiler Room,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Hanging Up,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pitch Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"Whole Nine Yards, The",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful People,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Tar Heroin: The Dark End of the Street,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Circus, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City Lights,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Flamingo Kid, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kid, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Class Reunion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happy Go Lovely,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Reindeer Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wonder Boys,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chain of Fools,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Drowning Mona,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Next Best Thing, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
What Planet Are You From?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beyond the Mat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghost Dog: The Way of the Samurai,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Year My Voice Broke,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Splendor in the Grass,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
My Tutor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Key Largo,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Born Yesterday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birdy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Blood Feast,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Charlie, the Lonesome Cougar",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Never Cry Wolf,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Raisin in the Sun, A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Closer You Get, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mission to Mars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ninth Gate, The",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
East-West (Est-ouest),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Defending Your Life,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Breaking Away,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hoosiers (a.k.a. Best Shot),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bull Durham,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Dog Day Afternoon,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
American Graffiti,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Asphalt Jungle, The",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Searchers, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Big Country, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Betrayed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Bridge at Remagen, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Daughters of the Dust,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ogre, The (Unhold, Der)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
On the Beach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Taking of Pelham One Two Three, The",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Volunteers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JFK,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Who's Harry Crumb?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Harry and the Hendersons,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's Get Harry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai Surprise,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Who's That Girl?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She-Devil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Date with an Angel,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Blind Date,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nadine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muppet Movie, The",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Great Muppet Caper, The",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muppets Take Manhattan, The",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
We're Back! A Dinosaur's Story,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Baby... Secret of the Lost Legend,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turtle Diary,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Raise the Titanic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Titanic,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Night to Remember, A",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Captain Horatio Hornblower R.N.,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Erin Brockovich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Final Destination,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Soft Fruit,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bear, The (Ours, L')",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Love Is a Many-Splendored Thing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"Mirror, The (Zerkalo)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Crimson Pirate, The",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelma & Louise,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
...And Justice for All,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Animal House,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She's Gotta Have It,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
School Daze,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Do the Right Thing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mo' Better Blues,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Jungle Fever,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Champ, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Creature Comforts,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Wish,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Death Wish 2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Death Wish 3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Death Wish 4: The Crackdown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Death Wish 5: The Face of Death,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Double Indemnity,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Dying Young,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Teenage Mutant Ninja Turtles,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles III,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Red Dawn,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Band of the Hand,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bloodsport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyes of Laura Mars,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Funny Bones,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Good Earth, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Good Morning, Vietnam",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Good Mother, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grumpy Old Men,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guess Who's Coming to Dinner,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Romeo Must Die,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Here on Earth,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Whatever It Takes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Buddy Boy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Gothic,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Lord of the Flies,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Modern Times,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Heart and Souls,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hud,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Hustler, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inherit the Wind,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dersu Uzala,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Close Encounters of the Third Kind,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retroactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Place in the Sun, A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Jacob's Ladder,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Empire Records,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bamba, La",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladyhawke,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Lucas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
High Fidelity,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Road to El Dorado, The",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skulls, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hook,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Son of the Sheik, The",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True Grit,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Madame Sousatzka,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Max Dugan Returns,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Express,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Misery,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Mr. Saturday Night,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Murphy's Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
My Life,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Solaris (Solyaris),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Network,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
No Way Out,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
North Dallas Forty,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Odd Couple, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outlaw Josey Wales, The",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Frequency,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Ready to Rumble,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return to Me,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Rules of Engagement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Joe Gould's Secret,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Me Myself I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bell, Book and Candle",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Force 10 from Navarone,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Mystery Train,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arthur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bachelor Party,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parenthood,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Predator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Prince of Tides, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Postman Always Rings Twice, The",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
All the Vermeers in New York,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28 Days,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
American Psycho,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
Keeping the Faith,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Where the Money Is,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
East is East,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filth and the Fury, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diner,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shakes the Clown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabaret,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
What Ever Happened to Baby Jane?,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Auntie Mame,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Guys and Dolls,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Hunger,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marathon Man,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Caddyshack,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gossip,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Love and Basketball,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
U-571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Virgin Suicides, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Jennifer 8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Limelight,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Crow: Salvation, The",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Flintstones in Viva Rock Vegas, The",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where the Heart Is,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Big Kahuna, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bossa Nova,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Smiling Fish and Goat on Fire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Idiots, The (Idioterne)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Time Code,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carnosaur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Carnosaur 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Carnosaur 3: Primal Species,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Hidden, The",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Two Moon Junction,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Gladiator,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Up at the Villa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Human Traffic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breathless,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
The Idolmaker,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Inferno,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lords of Flatbush, The",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mr. Mom,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Time Masters (Maîtres du temps, Les)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Battlefield Earth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Center Stage,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Screwed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whipped,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamlet,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Anchors Aweigh,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gypsy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
On the Town,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Pee-wee's Big Adventure,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regret to Inform,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Honeymoon in Vegas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dinosaur,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loser,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Road Trip,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Time Crooks,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hollywood Knights, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Twelve Chairs, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible II,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shanghai Noon,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Better Living Through Circuitry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnival of Souls,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Flying Tigers,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"Gold Rush, The",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Monsieur Verdoux,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
On Her Majesty's Secret Service,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Seven Days in May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Spy Who Loved Me, The",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vagabond (Sans toit ni loi),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moonraker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Man with the Golden Gun, The",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"King in New York, A",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Woman of Paris, A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fighting Seabees, The",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Big Momma's House,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
American Gigolo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Endless Summer, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Guns of Navarone, The",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Blow-Out (La grande bouffe),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quatermass and the Pit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Puppet Master,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Puppet Master II,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Puppet Master III: Toulon's Revenge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Puppet Master 4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Puppet Master 5: The Final Chapter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Rent-A-Cop,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Romeo and Juliet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Stay Tuned,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blazing Saddles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benji,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benji the Hunted,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For the Love of Benji,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
White Christmas,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Eraserhead,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Baraka,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Man with the Golden Arm, The",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
